street,long,lat,city_id,town_id,neighborhood,postal
Rua Interna 10,,,11,26,Condomínio San Francisco,75686-207
Rua Caminho do Lago,,,11,26,Condomínio San Francisco,75686-210
Avenida D,,,11,78,Parque das Brisas III,75686-300
Rua 10,,,11,78,Parque das Brisas III,75686-303
Avenida A,,,11,78,Parque das Brisas III,75686-306
Rua 9,,,11,78,Parque das Brisas III,75686-309
Rua 1,,,11,78,Parque das Brisas III,75686-312
Rua 2,,,11,78,Parque das Brisas III,75686-315
Rua 3,,,11,78,Parque das Brisas III,75686-318
Rua 4,,,11,78,Parque das Brisas III,75686-321
Rua 5,,,11,78,Parque das Brisas III,75686-324
Avenida B,,,11,78,Parque das Brisas III,75686-327
Avenida C,,,11,78,Parque das Brisas III,75686-330
Rua 6,,,11,78,Parque das Brisas III,75686-333
Rua 7,,,11,78,Parque das Brisas III,75686-336
Rua 8,,,11,78,Parque das Brisas III,75686-339
Rua 8 A,,,11,78,Parque das Brisas III,75686-342
Rua 8 B,,,11,78,Parque das Brisas III,75686-345
Rua 9 A,,,11,78,Parque das Brisas III,75686-348
Rua 9,,,11,41,Estância Jequitimar,75686-360
Avenida D,,,11,41,Estância Jequitimar,75686-363
Rua Heliane Morais de Castro,,,11,41,Estância Jequitimar,75686-369
Rua Hélio Lopes de Morais,,,11,41,Estância Jequitimar,75686-372
Rua Matanira Magalhães de Castro,,,11,41,Estância Jequitimar,75686-375
Rua Leolinda Gonzaga,,,11,41,Estância Jequitimar,75686-378
Avenida Eni de Oliveira,,,11,41,Estância Jequitimar,75686-381
Avenida Otacílio de Araújo Lima,,,11,41,Estância Jequitimar,75686-384
Rua Caius Lucilius de Castro,,,11,41,Estância Jequitimar,75686-387
Rua João Santos,,,11,41,Estância Jequitimar,75686-390
Rua Carlos Dayrell,,,11,41,Estância Jequitimar,75686-393
Rua Maria Joana Santos Morais,,,11,41,Estância Jequitimar,75686-396
Rua Nacif Belchara Daher,,,11,41,Estância Jequitimar,75686-399
Rua Átila Ribeiro de Freitas,,,11,41,Estância Jequitimar,75686-402
Avenida Heleni Morais Silva,,,11,41,Estância Jequitimar,75686-405
Rua Essi de Oliveira,,,11,41,Estância Jequitimar,75686-408
Rua José Geraldo de Alencar Júnior,,,11,41,Estância Jequitimar,75686-411
Rua Antônio Crisóstomo de Castro,,,11,41,Estância Jequitimar,75686-414
Rua Ranor Lopes Morais,,,11,41,Estância Jequitimar,75686-417
Rua Ascelino Lopes de Moraes,,,11,41,Estância Jequitimar,75686-420
Rua Luiz Fernando Martins,,,11,41,Estância Jequitimar,75686-423
Rua Nelson Ribeiro Guimarães,,,11,41,Estância Jequitimar,75686-426
Rua Aníbal José Alves Torres,,,11,41,Estância Jequitimar,75686-429
Rua Augusto Rodrigues da Cunha,,,11,41,Estância Jequitimar,75686-432
Rua Odilon de Souza,,,11,41,Estância Jequitimar,75686-435
Rua Recenvindo Rocha,,,11,41,Estância Jequitimar,75686-438
Rua Marina de Fátima B Moura,,,11,41,Estância Jequitimar,75686-441
Rua Amilcar Rodrigues da Cunha,,,11,41,Estância Jequitimar,75686-444
Rua Luiz Gonzaga de Menezes,,,11,41,Estância Jequitimar,75686-447
Rua Agostinho Gonzaga de Menezes,,,11,41,Estância Jequitimar,75686-450
Rua Maria Joana Ala,,,11,41,Estância Jequitimar,75686-453
Rua Doutor Carlos Inácio de Paula,,,11,41,Estância Jequitimar,75686-456
Rua José Pinto Neto,,,11,41,Estância Jequitimar,75686-459
Rua Felicidade Estrela de Godoy,,,11,41,Estância Jequitimar,75686-462
Rua Custódia Rabelo,,,11,41,Estância Jequitimar,75686-465
Rua Ilídio Lopes de Moraes,,,11,41,Estância Jequitimar,75686-468
Rua Vera Lúcia Machado de Souza,,,11,41,Estância Jequitimar,75686-471
Rua Filadelfo Ferreira Rispoli,,,11,41,Estância Jequitimar,75686-474
Rua Geni Gentil Borges,,,11,41,Estância Jequitimar,75686-477
Rua Antônio Sanches Fernandes,,,11,41,Estância Jequitimar,75686-480
Rua Acácio Fonseca,,,11,41,Estância Jequitimar,75686-483
Rua Luiz Tafuri,,,11,41,Estância Jequitimar,75686-486
Rua Mário Batista Gomes,,,11,41,Estância Jequitimar,75686-489
Rua Juliano Fettine,,,11,41,Estância Jequitimar,75686-492
Rua Antônio Carlos Firmino,,,11,41,Estância Jequitimar,75686-495
Rua Elmo Bailoni,,,11,41,Estância Jequitimar,75686-498
Rua Edézio Campos Horbylon,,,11,41,Estância Jequitimar,75686-501
Rua Germiniano Moreira dos Santos,,,11,41,Estância Jequitimar,75686-504
Rua João Araújo Lima,,,11,41,Estância Jequitimar,75686-507
Rua Eliete Morais Alberice,,,11,41,Estância Jequitimar,75686-510
Rua Alda Lucinea de Castro Dayrell,,,11,41,Estância Jequitimar,75686-513
Rua Nassim Elias Tomé,,,11,41,Estância Jequitimar,75686-516
Rua Alfredo Afonso Silva,,,11,41,Estância Jequitimar,75686-519
Rua Sérgio Augusto Dias de Abreu,,,11,41,Estância Jequitimar,75686-522
Rua João José Pires,,,11,41,Estância Jequitimar,75686-525
Rua Terezinha R Nunes,,,11,41,Estância Jequitimar,75686-528
Rua Osmundo Gonzaga de Menezes Filho,,,11,41,Estância Jequitimar,75686-531
Rua Hélio Antônio Crisóstomo de Castro,,,11,41,Estância Jequitimar,75686-534
Rua Luiz Carlos Moreira dos Santos,,,11,41,Estância Jequitimar,75686-537
Rua Alderico Bittencourt,,,11,41,Estância Jequitimar,75686-540
Rua João da Cruz,,,11,41,Estância Jequitimar,75686-542
Rua Jurandir Floriano da Silva,,,11,41,Estância Jequitimar,75686-543
Rua Ana de Oliveira Gonzaga,,,11,41,Estância Jequitimar,75686-546
Rua Alexander Ferreira Trindade,,,11,41,Estância Jequitimar,75686-549
Rua Jesuíno Lopes de Godoy,,,11,41,Estância Jequitimar,75686-552
Rua Gustavo José Moura,,,11,41,Estância Jequitimar,75686-555
Rua Djanira Santos Guimarães,,,11,41,Estância Jequitimar,75686-558
Rua Emygdio Augusto Marques,,,11,41,Estância Jequitimar,75686-561
Rua Martinho Palmerston,,,11,41,Estância Jequitimar,75686-564
Rua Geraldo G de Oliveira,,,11,41,Estância Jequitimar,75686-567
Rua Bartolomeu Inocêncio de Oliveira,,,11,41,Estância Jequitimar,75686-570
Rua Emiliano Camilo Dias,,,11,41,Estância Jequitimar,75686-573
Rua Sebastião Lopes de Moraes,,,11,41,Estância Jequitimar,75686-576
Rua Antônio Bernardes de Morais,,,11,41,Estância Jequitimar,75686-579
Rua Elaine Morais M de Mendonça,,,11,41,Estância Jequitimar,75686-582
Rua André Ala Filho,,,11,41,Estância Jequitimar,75686-585
Rua Eudoxio Gonzaga de Menezes,,,11,41,Estância Jequitimar,75686-588
Rua Orcalino Lopes de Moraes,,,11,41,Estância Jequitimar,75686-591
Rua Zulmira Carneiro Silva,,,11,41,Estância Jequitimar,75686-594
Rua Aníbal Pereira,,,11,41,Estância Jequitimar,75686-597
Rua Jonas Lopes de Morais,,,11,41,Estância Jequitimar,75686-600
Rua Luíza Pereira Craveiro,,,11,41,Estância Jequitimar,75686-603
Rua Besse Borges de Godoy,,,11,41,Estância Jequitimar,75686-606
Rua Olegário Borges de Godoy,,,11,41,Estância Jequitimar,75686-609
Rua 6,,,11,85,Parque Thermas Caldas,75686-620
Rua 3,,,11,85,Parque Thermas Caldas,75686-623
Rua 2,,,11,85,Parque Thermas Caldas,75686-626
Rua 4,,,11,85,Parque Thermas Caldas,75686-629
Rua 5,,,11,85,Parque Thermas Caldas,75686-632
Rua Olegário Borges de Godoy,,,11,85,Parque Thermas Caldas,75686-635
Rua Besse Borges de Godoy,,,11,85,Parque Thermas Caldas,75686-638
Rua das Andorinhas,,,11,85,Parque Thermas Caldas,75686-641
Rua dos Tucanos,,,11,85,Parque Thermas Caldas,75686-644
Avenida Caminho do Lago,,,11,85,Parque Thermas Caldas,75686-647
Rua 1,,,11,85,Parque Thermas Caldas,75686-650
Avenida Caminho do Lago,,,11,88,Recanto dos Amigos,75686-660
Rua dos Pica-paus,,,11,88,Recanto dos Amigos,75686-663
Rua dos Tucanos,,,11,88,Recanto dos Amigos,75686-666
Rua das Andorinhas,,,11,88,Recanto dos Amigos,75686-669
Rua dos Pardais,,,11,88,Recanto dos Amigos,75686-672
Rua dos Sabiás,,,11,88,Recanto dos Amigos,75686-675
Rua das Tesourinhas,,,11,88,Recanto dos Amigos,75686-678
Rua das Gralhas,,,11,88,Recanto dos Amigos,75686-681
Rua das Rolinhas,,,11,88,Recanto dos Amigos,75686-684
Rua das Pombas,,,11,88,Recanto dos Amigos,75686-687
Rua dos Bem-ti-vis,,,11,88,Recanto dos Amigos,75686-690
Rua dos Tico-ticos,,,11,88,Recanto dos Amigos,75686-693
Rua das Juritis,,,11,88,Recanto dos Amigos,75686-696
Rua das Arapongas,,,11,88,Recanto dos Amigos,75686-699
Rua dos Gaviões,,,11,88,Recanto dos Amigos,75686-702
Rua dos Colibris,,,11,88,Recanto dos Amigos,75686-705
Rua dos Melros,,,11,88,Recanto dos Amigos,75686-708
Rua das Patativas,,,11,88,Recanto dos Amigos,75686-711
Rua dos Bicudos,,,11,88,Recanto dos Amigos,75686-714
Rua dos Canários,,,11,88,Recanto dos Amigos,75686-717
Rua das Araras,,,11,88,Recanto dos Amigos,75686-720
Rua das Mulatas,,,11,88,Recanto dos Amigos,75686-723
Rua dos Periquitos,,,11,88,Recanto dos Amigos,75686-726
Rua dos Rouxinóis,,,11,88,Recanto dos Amigos,75686-729
Rua dos Pintassilgos,,,11,88,Recanto dos Amigos,75686-732
Rua dos Guachos,,,11,88,Recanto dos Amigos,75686-735
Rua dos Assanhaços,,,11,88,Recanto dos Amigos,75686-738
Rua dos João-de-barro,,,11,88,Recanto dos Amigos,75686-741
Rua dos Uirapurus,,,11,88,Recanto dos Amigos,75686-744
Rua Carlos Roberto de Albuquerque Lima,,,11,81,Parque Flamboyant,75686-810
Rua MN 11,,,11,81,Parque Flamboyant,75686-813
Rua Pedro Veríssimo da Silva,,,11,81,Parque Flamboyant,75686-816
Rua Eurípedes Rosa de Oliveira,,,11,81,Parque Flamboyant,75686-819
Rua José Nilson Pereira da Silva,,,11,81,Parque Flamboyant,75686-822
Rua Eleusa Rosa de Oliveira,,,11,81,Parque Flamboyant,75686-825
Rua Danerson Pereira da Silva,,,11,81,Parque Flamboyant,75686-828
Rua Geralda Silvestre da Silva,,,11,81,Parque Flamboyant,75686-831
Rua João Ferreira Leal,,,11,81,Parque Flamboyant,75686-834
Rua Sebastião Francilino Ribeiro,,,11,81,Parque Flamboyant,75686-837
Rua MN 7,,,11,81,Parque Flamboyant,75686-840
Rua 2,,,11,18,Condomínio Marinas di Caldas,75686-850
Rua 8,,,11,18,Condomínio Marinas di Caldas,75686-853
Rua 9,,,11,18,Condomínio Marinas di Caldas,75686-856
Rua 10,,,11,18,Condomínio Marinas di Caldas,75686-859
Rua 1,,,11,18,Condomínio Marinas di Caldas,75686-862
Rua 5,,,11,18,Condomínio Marinas di Caldas,75686-865
Rua 11,,,11,18,Condomínio Marinas di Caldas,75686-868
Rua 12,,,11,18,Condomínio Marinas di Caldas,75686-871
Rua 16,,,11,18,Condomínio Marinas di Caldas,75686-874
Rua 17,,,11,18,Condomínio Marinas di Caldas,75686-877
Rua 13,,,11,18,Condomínio Marinas di Caldas,75686-880
Rua 15,,,11,18,Condomínio Marinas di Caldas,75686-883
Rua 14,,,11,18,Condomínio Marinas di Caldas,75686-886
Rua 6,,,11,18,Condomínio Marinas di Caldas,75686-889
Rua 4,,,11,18,Condomínio Marinas di Caldas,75686-892
Rua 3,,,11,18,Condomínio Marinas di Caldas,75686-895
Avenida Wilmar Manzi Cavalcanti,,,11,24,Condomínio Residencial Porto Seguro,75687-000
Rua 4,,,11,24,Condomínio Residencial Porto Seguro,75687-003
Rua 5,,,11,24,Condomínio Residencial Porto Seguro,75687-006
Rua 1,,,11,24,Condomínio Residencial Porto Seguro,75687-009
Rua 2,,,11,24,Condomínio Residencial Porto Seguro,75687-012
Rua 3,,,11,24,Condomínio Residencial Porto Seguro,75687-015
Rua 7,,,11,24,Condomínio Residencial Porto Seguro,75687-018
Rua 6,,,11,24,Condomínio Residencial Porto Seguro,75687-021
Rua 8,,,11,24,Condomínio Residencial Porto Seguro,75687-024
Rua João Gonçalves Ribeiro Filho,,,11,24,Condomínio Residencial Porto Seguro,75687-027
Avenida Grande Lago,,,11,24,Condomínio Residencial Porto Seguro,75687-030
Rua 10,,,11,24,Condomínio Residencial Porto Seguro,75687-033
Rua 9,,,11,24,Condomínio Residencial Porto Seguro,75687-036
Viela 3,,,11,24,Condomínio Residencial Porto Seguro,75687-039
Viela 2,,,11,24,Condomínio Residencial Porto Seguro,75687-042
Viela 1,,,11,24,Condomínio Residencial Porto Seguro,75687-045
Avenida Caminho do Lago,,,11,51,Jardim Interlago,75687-140
Rua JI 1,,,11,51,Jardim Interlago,75687-143
Rua JI 3,,,11,51,Jardim Interlago,75687-146
Rua JI 2,,,11,51,Jardim Interlago,75687-149
Rua JI 4,,,11,51,Jardim Interlago,75687-152
Rua JI 5,,,11,51,Jardim Interlago,75687-155
Rua JI 6,,,11,51,Jardim Interlago,75687-158
Rua JI 7,,,11,51,Jardim Interlago,75687-161
Rua JI 8,,,11,51,Jardim Interlago,75687-164
Avenida Caminho do Lago,,,11,71,Marina Enseada Residence,75687-390
Avenida Caminho do Lago,,,11,20,Condomínio Náutico Privê das Caldas,75687-400
Rua 3,,,11,20,Condomínio Náutico Privê das Caldas,75687-404
Rua 1,,,11,20,Condomínio Náutico Privê das Caldas,75687-408
Rua 2,,,11,20,Condomínio Náutico Privê das Caldas,75687-412
Rua 8,,,11,20,Condomínio Náutico Privê das Caldas,75687-416
Rua 5,,,11,20,Condomínio Náutico Privê das Caldas,75687-420
Rua 7,,,11,20,Condomínio Náutico Privê das Caldas,75687-424
Rua 4,,,11,20,Condomínio Náutico Privê das Caldas,75687-428
Rua 6,,,11,20,Condomínio Náutico Privê das Caldas,75687-432
Rua 29,,,11,76,Parque das Brisas I,75687-500
Rua 33,,,11,76,Parque das Brisas I,75687-502
Avenida das Brisas,,,11,76,Parque das Brisas I,75687-504
Rua A 1,,,11,76,Parque das Brisas I,75687-506
Avenida D,,,11,76,Parque das Brisas I,75687-508
Rua B 1,,,11,76,Parque das Brisas I,75687-510
Rua B 2,,,11,76,Parque das Brisas I,75687-512
Rua B 3,,,11,76,Parque das Brisas I,75687-514
Rua B 4,,,11,76,Parque das Brisas I,75687-516
Rua B 5,,,11,76,Parque das Brisas I,75687-518
Rua B 6,,,11,76,Parque das Brisas I,75687-520
Rua B 7,,,11,76,Parque das Brisas I,75687-522
Rua B 8,,,11,76,Parque das Brisas I,75687-523
Rua A 2,,,11,76,Parque das Brisas I,75687-524
Rua B 9,,,11,76,Parque das Brisas I,75687-526
Rua B 10,,,11,76,Parque das Brisas I,75687-528
Rua B 11,,,11,76,Parque das Brisas I,75687-530
Rua B 12,,,11,76,Parque das Brisas I,75687-532
Rua B 13,,,11,76,Parque das Brisas I,75687-534
Rua B 14,,,11,76,Parque das Brisas I,75687-536
Avenida Cândido Rodrigues da Cunha,,,11,132,Setor Serrinha,75687-540
Rua Volney Pereira dos Santos,,,11,132,Setor Serrinha,75687-541
Rua João da Cruz,,,11,132,Setor Serrinha,75687-542
Rua 25,,,11,132,Setor Serrinha,75687-544
Rua 27,,,11,132,Setor Serrinha,75687-546
Rua 28,,,11,132,Setor Serrinha,75687-548
Rua 24,,,11,132,Setor Serrinha,75687-550
Rua 26,,,11,132,Setor Serrinha,75687-552
Rua 23,,,11,132,Setor Serrinha,75687-554
Avenida Ilídio Lopes de Moraes,,,11,132,Setor Serrinha,75687-556
Rua Custódia Rabelo,,,11,132,Setor Serrinha,75687-558
Rua 14,,,11,132,Setor Serrinha,75687-560
Rua 15,,,11,132,Setor Serrinha,75687-562
Rua Vera Lúcia Machado de Souza,,,11,132,Setor Serrinha,75687-564
Rua 16,,,11,132,Setor Serrinha,75687-566
Rua 17,,,11,132,Setor Serrinha,75687-568
Rua Antônio Sanches Fernandes,,,11,132,Setor Serrinha,75687-570
Rua 18,,,11,132,Setor Serrinha,75687-572
Rua 19,,,11,132,Setor Serrinha,75687-574
Rua 20,,,11,132,Setor Serrinha,75687-576
Rua 22,,,11,132,Setor Serrinha,75687-578
Rua 21,,,11,132,Setor Serrinha,75687-580
Rua 13,,,11,132,Setor Serrinha,75687-582
Rua 12,,,11,132,Setor Serrinha,75687-584
Rua 11,,,11,132,Setor Serrinha,75687-586
Avenida B,,,11,132,Setor Serrinha,75687-588
Rua 10,,,11,132,Setor Serrinha,75687-590
Avenida Roberto Pinheiro de Castro,,,11,132,Setor Serrinha,75687-592
Rua 8,,,11,132,Setor Serrinha,75687-594
Avenida A,,,11,132,Setor Serrinha,75687-596
Rua 5,,,11,132,Setor Serrinha,75687-598
Rua 9,,,11,132,Setor Serrinha,75687-600
Rua 6,,,11,132,Setor Serrinha,75687-602
Rua 7,,,11,132,Setor Serrinha,75687-604
Avenida Araxá,,,11,132,Setor Serrinha,75687-606
Rua 4,,,11,132,Setor Serrinha,75687-608
Rua 3,,,11,132,Setor Serrinha,75687-610
Rua 2,,,11,132,Setor Serrinha,75687-612
Rua 1,,,11,132,Setor Serrinha,75687-614
Rua 12,,,11,48,Jardim Esmeralda,75687-620
Rua 13,,,11,48,Jardim Esmeralda,75687-624
Rua 7,,,11,48,Jardim Esmeralda,75687-628
Rua 4,,,11,48,Jardim Esmeralda,75687-632
Rua 3,,,11,48,Jardim Esmeralda,75687-636
Avenida Araxá,,,11,48,Jardim Esmeralda,75687-640
Rua 2,,,11,48,Jardim Esmeralda,75687-644
Rua 1,,,11,48,Jardim Esmeralda,75687-648
Rua 8,,,11,48,Jardim Esmeralda,75687-652
Rua 5,,,11,48,Jardim Esmeralda,75687-656
Rua 6,,,11,48,Jardim Esmeralda,75687-660
Rua 14,,,11,48,Jardim Esmeralda,75687-664
Rua 15,,,11,48,Jardim Esmeralda,75687-668
Rua 9,,,11,48,Jardim Esmeralda,75687-672
Rua 20,,,11,48,Jardim Esmeralda,75687-676
Rua 10,,,11,48,Jardim Esmeralda,75687-680
Rua Doutor Manoel Caixeta Ramos,,,11,48,Jardim Esmeralda,75687-684
Rua Antônio Antenor Rodovalho,,,11,48,Jardim Esmeralda,75687-688
Rua Desembargador Jorge Salomão,,,11,48,Jardim Esmeralda,75687-692
Rua Engenheiro Varderci Simão Nascimento,,,11,48,Jardim Esmeralda,75687-696
Rua 11,,,11,48,Jardim Esmeralda,75687-700
Rua RA 2,,,11,48,Jardim Esmeralda,75687-704
Rua 16,,,11,48,Jardim Esmeralda,75687-708
Rua 17,,,11,48,Jardim Esmeralda,75687-712
Rua 18,,,11,48,Jardim Esmeralda,75687-716
Rua 19,,,11,48,Jardim Esmeralda,75687-720
Rua 22,,,11,61,Jardim Vitória,75687-730
Rua Antônio Sanches Fernandes,,,11,61,Jardim Vitória,75687-733
Rua 19,,,11,61,Jardim Vitória,75687-736
Rua 20,,,11,61,Jardim Vitória,75687-739
Rua 9 JE,,,11,61,Jardim Vitória,75687-742
Rua 21,,,11,61,Jardim Vitória,75687-745
Rua 13,,,11,61,Jardim Vitória,75687-748
Rua 23,,,11,61,Jardim Vitória,75687-751
Rua 6,,,11,61,Jardim Vitória,75687-754
Rua 24,,,11,61,Jardim Vitória,75687-757
Rua 7,,,11,61,Jardim Vitória,75687-760
Rua 18,,,11,61,Jardim Vitória,75687-763
Rua 14,,,11,61,Jardim Vitória,75687-766
Rua 15,,,11,61,Jardim Vitória,75687-769
Rua 16,,,11,61,Jardim Vitória,75687-772
Rua 10,,,11,61,Jardim Vitória,75687-775
Rua 12,,,11,61,Jardim Vitória,75687-778
Rua 11,,,11,61,Jardim Vitória,75687-781
Rua 17,,,11,61,Jardim Vitória,75687-784
Rua 10 A,,,11,61,Jardim Vitória,75687-787
Rua 5,,,11,61,Jardim Vitória,75687-790
Rua 4,,,11,61,Jardim Vitória,75687-793
Rua 3,,,11,61,Jardim Vitória,75687-796
Rua 9 A,,,11,61,Jardim Vitória,75687-799
Rua 2,,,11,61,Jardim Vitória,75687-802
Rua 1,,,11,61,Jardim Vitória,75687-805
Avenida Getúlio Vargas,,,11,61,Jardim Vitória,75687-808
Rua MN 23,,,11,103,Residencial Morada Nobre,75687-820
Rua MN 22,,,11,103,Residencial Morada Nobre,75687-823
Rua 8,,,11,103,Residencial Morada Nobre,75687-826
Rua MN 21,,,11,103,Residencial Morada Nobre,75687-829
Rua MN 20,,,11,103,Residencial Morada Nobre,75687-832
Rua MN 18,,,11,103,Residencial Morada Nobre,75687-835
Rua MN 19,,,11,103,Residencial Morada Nobre,75687-838
Avenida Getúlio Vargas,,,11,103,Residencial Morada Nobre,75687-841
Rua MN 17,,,11,103,Residencial Morada Nobre,75687-844
Rua MN 15,,,11,103,Residencial Morada Nobre,75687-847
Rua MN 16,,,11,103,Residencial Morada Nobre,75687-850
Rua MN 14,,,11,103,Residencial Morada Nobre,75687-853
Rua MN 13,,,11,103,Residencial Morada Nobre,75687-856
Rua MN 10,,,11,103,Residencial Morada Nobre,75687-859
Rua MN 9,,,11,103,Residencial Morada Nobre,75687-862
Rua MN 12,,,11,103,Residencial Morada Nobre,75687-865
Rua MN 11,,,11,103,Residencial Morada Nobre,75687-868
Rua MN 7,,,11,103,Residencial Morada Nobre,75687-871
Rua MN 4,,,11,103,Residencial Morada Nobre,75687-874
Rua MN 8,,,11,103,Residencial Morada Nobre,75687-877
Rua MN 2,,,11,103,Residencial Morada Nobre,75687-880
Rua MN 1,,,11,103,Residencial Morada Nobre,75687-883
Rua MN 5,,,11,103,Residencial Morada Nobre,75687-886
Rua MN 6,,,11,103,Residencial Morada Nobre,75687-889
Rua MN 3,,,11,103,Residencial Morada Nobre,75687-892
Rua 9,,,11,92,Residencial Alto da Boa Vista,75688-000
Rua 8,,,11,92,Residencial Alto da Boa Vista,75688-003
Rua 5,,,11,92,Residencial Alto da Boa Vista,75688-006
Rua 7,,,11,92,Residencial Alto da Boa Vista,75688-009
Rua 6,,,11,92,Residencial Alto da Boa Vista,75688-012
Avenida Getúlio Vargas,,,11,92,Residencial Alto da Boa Vista,75688-015
Rua 4,,,11,92,Residencial Alto da Boa Vista,75688-018
Rua 3,,,11,92,Residencial Alto da Boa Vista,75688-021
Rua 2,,,11,92,Residencial Alto da Boa Vista,75688-024
Rua 1,,,11,92,Residencial Alto da Boa Vista,75688-027
Rua RA 22,,,11,92,Residencial Alto da Boa Vista,75688-030
Rua RA 2,,,11,109,Residencial Recanto das Águas,75688-040
Rua RA 3,,,11,109,Residencial Recanto das Águas,75688-043
Avenida Getúlio Vargas,,,11,109,Residencial Recanto das Águas,75688-046
Rua RA 1,,,11,109,Residencial Recanto das Águas,75688-049
Rua RA 4,,,11,109,Residencial Recanto das Águas,75688-052
Rua RA 5,,,11,109,Residencial Recanto das Águas,75688-055
Rua RA 6,,,11,109,Residencial Recanto das Águas,75688-058
Rua RA 7,,,11,109,Residencial Recanto das Águas,75688-061
Rua RA 8,,,11,109,Residencial Recanto das Águas,75688-064
Rua RA 9,,,11,109,Residencial Recanto das Águas,75688-067
Rua RA 10,,,11,109,Residencial Recanto das Águas,75688-070
Rua RA 11,,,11,109,Residencial Recanto das Águas,75688-073
Rua RA 12,,,11,109,Residencial Recanto das Águas,75688-076
Rua RA 21,,,11,109,Residencial Recanto das Águas,75688-079
Rua RA 20,,,11,109,Residencial Recanto das Águas,75688-082
Rua RA 19,,,11,109,Residencial Recanto das Águas,75688-085
Rua RA 16,,,11,109,Residencial Recanto das Águas,75688-088
Rua RA 18,,,11,109,Residencial Recanto das Águas,75688-091
Rua RA 17,,,11,109,Residencial Recanto das Águas,75688-094
Rua RA 15,,,11,109,Residencial Recanto das Águas,75688-097
Rua RA 14,,,11,109,Residencial Recanto das Águas,75688-100
Rua RA 13,,,11,109,Residencial Recanto das Águas,75688-103
Rua RA 22,,,11,109,Residencial Recanto das Águas,75688-106
Rua RA 17,,,11,126,Setor Lago Sul,75688-110
Rua Eurípedes Rosa de Oliveira,,,11,126,Setor Lago Sul,75688-113
Rua Elias Pimenta,,,11,126,Setor Lago Sul,75688-116
Rua Nadima Maria Gomes,,,11,126,Setor Lago Sul,75688-119
Rua Orlando Rosa de Oliveira,,,11,126,Setor Lago Sul,75688-122
Rua Olívia Alves Batista,,,11,126,Setor Lago Sul,75688-125
Rua Thiago Lopes da Silva,,,11,126,Setor Lago Sul,75688-128
Rua Maria Cândida de Jesus,,,11,126,Setor Lago Sul,75688-131
Rua Amiro Coelho,,,11,126,Setor Lago Sul,75688-134
Rua Manoelina Pereira,,,11,126,Setor Lago Sul,75688-137
Rua José Porfírio de Lima,,,11,126,Setor Lago Sul,75688-140
Rua Dorvalina Filgueira,,,11,126,Setor Lago Sul,75688-143
Rua Teresa Araújo Lima,,,11,126,Setor Lago Sul,75688-146
Rua Maria Isabel Albuquerque Lima,,,11,126,Setor Lago Sul,75688-149
Rua Pedro Ivan Albuquerque Lima,,,11,126,Setor Lago Sul,75688-152
Rua João Gonçalves,,,11,126,Setor Lago Sul,75688-155
Rua Ana Maria Albuquerque Lima,,,11,126,Setor Lago Sul,75688-158
Rua Magali Izuwa,,,11,126,Setor Lago Sul,75688-161
Rua Mário Rubens Albuquerque,,,11,126,Setor Lago Sul,75688-164
Rua Charles Corbett,,,11,126,Setor Lago Sul,75688-167
Rua Júlio Fábio Dias,,,11,126,Setor Lago Sul,75688-170
Rua José Alves de Almeida,,,11,126,Setor Lago Sul,75688-173
Rua Ary Carlos Arrater,,,11,126,Setor Lago Sul,75688-176
Rua Pedro Henrique Klug Silva,,,11,126,Setor Lago Sul,75688-179
Rua Marrie d'Angel,,,11,126,Setor Lago Sul,75688-182
Rua Eleusa Rosa de Oliveira,,,11,126,Setor Lago Sul,75688-185
Rua José Nilson da Silva,,,11,126,Setor Lago Sul,75688-188
Rua Pierre Curty,,,11,126,Setor Lago Sul,75688-191
Rua Joana Lopes,,,11,126,Setor Lago Sul,75688-194
Rua José Maria da Silva,,,11,126,Setor Lago Sul,75688-197
Rua Carlos Alberto de Albuquerque Lima,,,11,126,Setor Lago Sul,75688-200
Rua Vanessa Klug Silvestre,,,11,126,Setor Lago Sul,75688-203
Rua Melquíades Luiz Neto,,,11,126,Setor Lago Sul,75688-206
Rua Carlos Ramon,,,11,126,Setor Lago Sul,75688-209
Rua Sebastião Francilino Ribeiro,,,11,126,Setor Lago Sul,75688-212
Rua Patrícia Ramon,,,11,126,Setor Lago Sul,75688-215
Rua Gabriel de Carvalho Guimarães,,,11,126,Setor Lago Sul,75688-218
Rua Milena A de Carvalho Guimarães,,,11,126,Setor Lago Sul,75688-221
Rua Lorenzo A de Carvalho Guimarães,,,11,126,Setor Lago Sul,75688-224
Avenida Getúlio Vargas,,,11,126,Setor Lago Sul,75688-227
Rua 1,,,11,70,Mansões Solar do Lago,75688-740
Rua 2,,,11,70,Mansões Solar do Lago,75688-745
Rua 1 A,,,11,70,Mansões Solar do Lago,75688-750
Rua 2 A,,,11,70,Mansões Solar do Lago,75688-755
Avenida Beira Lago,,,11,70,Mansões Solar do Lago,75688-760
Avenida Península do Lago,,,11,19,Condomínio Morada do Lago,75688-780
Avenida Tancredo Neves,,,11,15,Condomínio Barra do Pirapitinga,75688-790
Rua 1,,,11,15,Condomínio Barra do Pirapitinga,75688-795
Avenida Caldas Novas,,,11,4,Caldas do Oeste,75689-000
Avenida Guarapari,,,11,4,Caldas do Oeste,75689-003
Rua 35,,,11,4,Caldas do Oeste,75689-006
Rua 29,,,11,4,Caldas do Oeste,75689-009
Rua 2,,,11,4,Caldas do Oeste,75689-012
